"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045334","GO:0045334","clathrin-coated endocytic vesicle","1/143","70/18511",0.419506885256427,0.686476319301261,0.62823638019322,"AP1G1",1
"GO:0015935","GO:0015935","small ribosomal subunit","1/143","72/18511",0.428475042939208,0.686476319301261,0.62823638019322,"MRPS36",1
"GO:0098562","GO:0098562","cytoplasmic side of membrane","2/143","189/18511",0.430110588904098,0.686476319301261,0.62823638019322,"THADA/CYTH3",2
"GO:0070821","GO:0070821","tertiary granule membrane","1/143","73/18511",0.432907391160895,0.686476319301261,0.62823638019322,"SIRPA",1
"GO:0098858","GO:0098858","actin-based cell projection","2/143","191/18511",0.435385276938679,0.686476319301261,0.62823638019322,"ADGRV1/MYO7A",2
"GO:0030684","GO:0030684","preribosome","1/143","74/18511",0.437305603714534,0.686476319301261,0.62823638019322,"HEATR1",1
"GO:0044215","GO:0044215","other organism","1/143","74/18511",0.437305603714534,0.686476319301261,0.62823638019322,"SCO1",1
"GO:0044216","GO:0044216","other organism cell","1/143","74/18511",0.437305603714534,0.686476319301261,0.62823638019322,"SCO1",1
"GO:0044217","GO:0044217","other organism part","1/143","74/18511",0.437305603714534,0.686476319301261,0.62823638019322,"SCO1",1
"GO:0030017","GO:0030017","sarcomere","2/143","192/18511",0.438012875375059,0.686476319301261,0.62823638019322,"OBSCN/IGFN1",2
"GO:0035770","GO:0035770","ribonucleoprotein granule","2/143","196/18511",0.448456986837486,0.696664922168252,0.637560592557749,"DDX4/CNOT2",2
"GO:0036126","GO:0036126","sperm flagellum","1/143","79/18511",0.458793699425356,0.696664922168252,0.637560592557749,"ODF4",1
"GO:0097729","GO:0097729","9+2 motile cilium","1/143","79/18511",0.458793699425356,0.696664922168252,0.637560592557749,"ODF4",1
"GO:0001750","GO:0001750","photoreceptor outer segment","1/143","80/18511",0.4629925113276,0.696664922168252,0.637560592557749,"MYO7A",1
"GO:0005902","GO:0005902","microvillus","1/143","81/18511",0.467158973857043,0.696664922168252,0.637560592557749,"MYO7A",1
"GO:0030672","GO:0030672","synaptic vesicle membrane","1/143","81/18511",0.467158973857043,0.696664922168252,0.637560592557749,"OTOF",1
"GO:0099501","GO:0099501","exocytic vesicle membrane","1/143","81/18511",0.467158973857043,0.696664922168252,0.637560592557749,"OTOF",1
"GO:0000932","GO:0000932","P-body","1/143","83/18511",0.475395838881928,0.696664922168252,0.637560592557749,"CNOT2",1
"GO:0060170","GO:0060170","ciliary membrane","1/143","83/18511",0.475395838881928,0.696664922168252,0.637560592557749,"TAS2R43",1
"GO:0016323","GO:0016323","basolateral plasma membrane","2/143","207/18511",0.476609116703016,0.696664922168252,0.637560592557749,"OTOF/MLC1",2
"GO:0032588","GO:0032588","trans-Golgi network membrane","1/143","84/18511",0.479466730733452,0.696664922168252,0.637560592557749,"AP1G1",1
"GO:0044449","GO:0044449","contractile fiber part","2/143","209/18511",0.481634635757593,0.696664922168252,0.637560592557749,"OBSCN/IGFN1",2
"GO:0000313","GO:0000313","organellar ribosome","1/143","85/18511",0.483506251952593,0.696664922168252,0.637560592557749,"MRPS36",1
"GO:0005761","GO:0005761","mitochondrial ribosome","1/143","85/18511",0.483506251952593,0.696664922168252,0.637560592557749,"MRPS36",1
"GO:0030863","GO:0030863","cortical cytoskeleton","1/143","85/18511",0.483506251952593,0.696664922168252,0.637560592557749,"MYH9",1
"GO:0005813","GO:0005813","centrosome","4/143","469/18511",0.491868895991732,0.704924407089756,0.645119351342942,"PDE4DIP/WDR35/CDC27/CCDC8",4
"GO:0005913","GO:0005913","cell-cell adherens junction","1/143","88/18511",0.495438983262448,0.706264082523064,0.646345370101625,"MYH9",1
"GO:0005604","GO:0005604","basement membrane","1/143","93/18511",0.514721505977424,0.729869648687564,0.667948264509829,"THBS4",1
"GO:0030117","GO:0030117","membrane coat","1/143","95/18511",0.522227999441226,0.73163886553059,0.66956738283043,"AP1G1",1
"GO:0048475","GO:0048475","coated membrane","1/143","95/18511",0.522227999441226,0.73163886553059,0.66956738283043,"AP1G1",1
"GO:0005903","GO:0005903","brush border","1/143","97/18511",0.529619178779607,0.73163886553059,0.66956738283043,"MYH9",1
"GO:0016605","GO:0016605","PML body","1/143","97/18511",0.529619178779607,0.73163886553059,0.66956738283043,"TP53",1
"GO:0071013","GO:0071013","catalytic step 2 spliceosome","1/143","97/18511",0.529619178779607,0.73163886553059,0.66956738283043,"GPATCH1",1
"GO:1990204","GO:1990204","oxidoreductase complex","1/143","98/18511",0.53327207643544,0.732907264024092,0.670728171710971,"MRPS36",1
"GO:0097731","GO:0097731","9+0 non-motile cilium","1/143","100/18511",0.540493574669851,0.735290751327513,0.672909446423058,"MYO7A",1
"GO:0097733","GO:0097733","photoreceptor cell cilium","1/143","100/18511",0.540493574669851,0.735290751327513,0.672909446423058,"MYO7A",1
"GO:0016607","GO:0016607","nuclear speck","3/143","372/18511",0.550788948424504,0.745512314029127,0.682263822344016,"DGKQ/WBP4/ALKBH5",3
"GO:0016591","GO:0016591","DNA-directed RNA polymerase II, holoenzyme","1/143","107/18511",0.564906009894978,0.753208013193303,0.689306626370934,"TP53",1
"GO:0030665","GO:0030665","clathrin-coated vesicle membrane","1/143","107/18511",0.564906009894978,0.753208013193303,0.689306626370934,"AP1G1",1
"GO:0036064","GO:0036064","ciliary basal body","1/143","107/18511",0.564906009894978,0.753208013193303,0.689306626370934,"WDR35",1
"GO:0031234","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","1/143","108/18511",0.568286711948065,0.753964548525156,0.689998978029698,"CYTH3",1
"GO:0044420","GO:0044420","extracellular matrix component","1/143","120/18511",0.606876524552647,0.801196593990687,0.733223905733818,"THBS4",1
"GO:0042383","GO:0042383","sarcolemma","1/143","122/18511",0.612966418094276,0.805269608084637,0.736951369535429,"OBSCN",1
"GO:0001650","GO:0001650","fibrillar center","1/143","128/18511",0.630679666849133,0.8244982961735,0.754548715665458,"HEATR1",1
"GO:0031901","GO:0031901","early endosome membrane","1/143","132/18511",0.642038850211534,0.83439177864213,0.763602845340206,"TBC1D3",1
"GO:0055029","GO:0055029","nuclear DNA-directed RNA polymerase complex","1/143","133/18511",0.644824009601041,0.83439177864213,0.763602845340206,"TP53",1
"GO:0000428","GO:0000428","DNA-directed RNA polymerase complex","1/143","134/18511",0.647587649095385,0.83439177864213,0.763602845340206,"TP53",1
"GO:0030880","GO:0030880","RNA polymerase complex","1/143","136/18511",0.653051027597778,0.837405145436385,0.766360561220259,"TP53",1
"GO:0016324","GO:0016324","apical plasma membrane","2/143","292/18511",0.662314449875444,0.845239393174376,0.773530159503651,"MYO7A/MLC1",2
"GO:0000151","GO:0000151","ubiquitin ligase complex","2/143","297/18511",0.671418677194311,0.848032856908548,0.776086628671217,"ZYG11B/CDC27",2
"GO:0098798","GO:0098798","mitochondrial protein complex","1/143","144/18511",0.674076159735693,0.848032856908548,0.776086628671217,"MRPS36",1
"GO:0030667","GO:0030667","secretory granule membrane","2/143","301/18511",0.67855938864521,0.848032856908548,0.776086628671217,"LILRB3/SIRPA",2
"GO:0045121","GO:0045121","membrane raft","2/143","301/18511",0.67855938864521,0.848032856908548,0.776086628671217,"EHD2/MLC1",2
"GO:0098857","GO:0098857","membrane microdomain","2/143","302/18511",0.680324866549768,0.848032856908548,0.776086628671217,"EHD2/MLC1",2
"GO:0000922","GO:0000922","spindle pole","1/143","150/18511",0.689010139429341,0.849077279705023,0.777042443720622,"BIRC6",1
"GO:0015629","GO:0015629","actin cytoskeleton","3/143","457/18511",0.689303274381907,0.849077279705023,0.777042443720622,"MICALL2/MYO7A/MYH9",3
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","1/143","151/18511",0.69143220522432,0.849077279705023,0.777042443720622,"CYTH3",1
"GO:0008021","GO:0008021","synaptic vesicle","1/143","152/18511",0.693835538266418,0.849077279705023,0.777042443720622,"OTOF",1
"GO:0043235","GO:0043235","receptor complex","2/143","325/18511",0.718796661940453,0.85260094839554,0.7802671680132,"ADGRV1/MYH9",2
"GO:0005743","GO:0005743","mitochondrial inner membrane","3/143","480/18511",0.720817741733743,0.85260094839554,0.7802671680132,"MRPS36/SCO1/MTCH2",3
"GO:0070820","GO:0070820","tertiary granule","1/143","164/18511",0.72126566707992,0.85260094839554,0.7802671680132,"SIRPA",1
"GO:0098552","GO:0098552","side of membrane","3/143","482/18511",0.723438354390762,0.85260094839554,0.7802671680132,"THADA/CYTH3/LILRB1",3
"GO:0005769","GO:0005769","early endosome","2/143","329/18511",0.725078631155476,0.85260094839554,0.7802671680132,"TBC1D3/MLC1",2
"GO:0031301","GO:0031301","integral component of organelle membrane","1/143","166/18511",0.725593868214844,0.85260094839554,0.7802671680132,"ANKLE1",1
"GO:0044440","GO:0044440","endosomal part","3/143","484/18511",0.72603997103033,0.85260094839554,0.7802671680132,"VPS50/TBC1D3/EHD2",3
"GO:0070382","GO:0070382","exocytic vesicle","1/143","167/18511",0.727732874856723,0.85260094839554,0.7802671680132,"OTOF",1
"GO:0030662","GO:0030662","coated vesicle membrane","1/143","169/18511",0.73196134158401,0.85260094839554,0.7802671680132,"AP1G1",1
"GO:0030666","GO:0030666","endocytic vesicle membrane","1/143","169/18511",0.73196134158401,0.85260094839554,0.7802671680132,"AP1G1",1
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","1/143","170/18511",0.73405105525501,0.85260094839554,0.7802671680132,"CYTH3",1
"GO:0044452","GO:0044452","nucleolar part","1/143","176/18511",0.74625389836491,0.85260094839554,0.7802671680132,"HEATR1",1
"GO:0030136","GO:0030136","clathrin-coated vesicle","1/143","177/18511",0.748232938044966,0.85260094839554,0.7802671680132,"AP1G1",1
"GO:0098802","GO:0098802","plasma membrane receptor complex","1/143","177/18511",0.748232938044966,0.85260094839554,0.7802671680132,"MYH9",1
"GO:0031300","GO:0031300","intrinsic component of organelle membrane","1/143","180/18511",0.754078559711537,0.85260094839554,0.7802671680132,"ANKLE1",1
"GO:0005765","GO:0005765","lysosomal membrane","2/143","349/18511",0.754744630482712,0.85260094839554,0.7802671680132,"MYO7A/AP1G1",2
"GO:0098852","GO:0098852","lytic vacuole membrane","2/143","349/18511",0.754744630482712,0.85260094839554,0.7802671680132,"MYO7A/AP1G1",2
"GO:0097223","GO:0097223","sperm part","1/143","182/18511",0.757900560682686,0.85260094839554,0.7802671680132,"ODF4",1
"GO:0030658","GO:0030658","transport vesicle membrane","1/143","183/18511",0.759789382758215,0.85260094839554,0.7802671680132,"OTOF",1
"GO:0044391","GO:0044391","ribosomal subunit","1/143","185/18511",0.76352323736914,0.85260094839554,0.7802671680132,"MRPS36",1
"GO:0101002","GO:0101002","ficolin-1-rich granule","1/143","185/18511",0.76352323736914,0.85260094839554,0.7802671680132,"SIRPA",1
"GO:0045177","GO:0045177","apical part of cell","2/143","363/18511",0.77384566834222,0.859888738676402,0.786936669723494,"MYO7A/MLC1",2
"GO:0005578","GO:0005578","proteinaceous extracellular matrix","2/143","365/18511",0.776466696864512,0.859888738676402,0.786936669723494,"DSPP/THBS4",2
"GO:0031252","GO:0031252","cell leading edge","2/143","369/18511",0.78162980927429,0.862044398705801,0.788909445791248,"CYTH3/MYH9",2
"GO:0098589","GO:0098589","membrane region","2/143","378/18511",0.792868716760813,0.870855803655319,0.796973300281576,"EHD2/MLC1",2
"GO:0034703","GO:0034703","cation channel complex","1/143","212/18511",0.808633851653434,0.884546417318858,0.809502416477981,"CACNA1G",1
"GO:0005774","GO:0005774","vacuolar membrane","2/143","398/18511",0.816044159350679,0.889023718317,0.813599867902046,"MYO7A/AP1G1",2
"GO:0005840","GO:0005840","ribosome","1/143","235/18511",0.840245693740983,0.911683586731107,0.834337296576386,"MRPS36",1
"GO:0098797","GO:0098797","plasma membrane protein complex","1/143","241/18511",0.84760144995185,0.915956405593128,0.838247613916728,"MYH9",1
"GO:0010008","GO:0010008","endosome membrane","2/143","442/18511",0.859091082534514,0.924644217346385,0.846198360729409,"TBC1D3/EHD2",2
"GO:0005759","GO:0005759","mitochondrial matrix","2/143","452/18511",0.867504771202772,0.927161176934694,0.848501784076134,"MRPS36/TP53",2
"GO:0030135","GO:0030135","coated vesicle","1/143","262/18511",0.870795820983329,0.927161176934694,0.848501784076134,"AP1G1",1
"GO:0061695","GO:0061695","transferase complex, transferring phosphorus-containing groups","1/143","263/18511",0.871808270849041,0.927161176934694,0.848501784076134,"TP53",1
"GO:0009897","GO:0009897","external side of plasma membrane","1/143","270/18511",0.878678197131279,0.930773742415742,0.851807863247714,"LILRB1",1
"GO:0030139","GO:0030139","endocytic vesicle","1/143","277/18511",0.885182393940654,0.933971974709036,0.854734760829558,"AP1G1",1
"GO:0034702","GO:0034702","ion channel complex","1/143","288/18511",0.89471051929331,0.940323212433753,0.86054716613144,"CACNA1G",1
"GO:0030425","GO:0030425","dendrite","2/143","495/18511",0.898703032844841,0.940829737509443,0.861010718144934,"KIF5A/ATXN1L",2
"GO:0031965","GO:0031965","nuclear membrane","1/143","298/18511",0.902688983735963,0.941325477203261,0.861464399797171,"ANKLE1",1
"GO:0031253","GO:0031253","cell projection membrane","1/143","312/18511",0.912859883322836,0.948242049343101,0.867794177128604,"TAS2R43",1
"GO:1902495","GO:1902495","transmembrane transporter complex","1/143","325/18511",0.921355987663379,0.953372218894925,0.87248910841523,"CACNA1G",1
"GO:1990351","GO:1990351","transporter complex","1/143","332/18511",0.925584633728667,0.954064160920319,0.873122346796678,"CACNA1G",1
"GO:0030133","GO:0030133","transport vesicle","1/143","354/18511",0.937459111278142,0.958927640544054,0.877573213852178,"OTOF",1
"GO:0098793","GO:0098793","presynapse","1/143","354/18511",0.937459111278142,0.958927640544054,0.877573213852178,"OTOF",1
"GO:0005925","GO:0005925","focal adhesion","1/143","394/18511",0.954432172480299,0.968068422857902,0.885938501672785,"MYH9",1
"GO:0005924","GO:0005924","cell-substrate adherens junction","1/143","397/18511",0.955502756259307,0.968068422857902,0.885938501672785,"MYH9",1
"GO:0030055","GO:0030055","cell-substrate junction","1/143","402/18511",0.957231836034866,0.968068422857902,0.885938501672785,"MYH9",1
"GO:0043025","GO:0043025","neuronal cell body","1/143","436/18511",0.967345059905948,0.971993180517535,0.889530286962238,"KIF5A",1
"GO:0005635","GO:0005635","nuclear envelope","1/143","440/18511",0.968366340291724,0.971993180517535,0.889530286962238,"ANKLE1",1
"GO:0044297","GO:0044297","cell body","1/143","500/18511",0.98037594060043,0.98037594060043,0.897201862371956,"KIF5A",1
